,city,state,zip,longitude,latitude,dma region,state abr,criteria id,"""blockFips""","""incomeBelowPoverty""",medianIncome,incomeLessThan25,"incomeBetween25to50""",incomeBetween50to100,incomeBetween100to200,incomeGreater200,educationHighSchoolGraduate,educationBachelorOrGreater
14826,Dallas,Texas,75232,-96.83886,32.664034,Dallas-Ft. Worth,TX,1026339.0,481130111033011,0.19,45886.0,0.2613,0.5023,0.4054,0.0,0.0,0.7072,0.2241
14827,Dallas,Texas,75233,-96.87222,32.704398,Dallas-Ft. Worth,TX,1026339.0,481130108032005,0.19,57715.0,0.1621,0.4159,0.4801,0.0703,0.0,0.626,0.0
14828,Farmers Branch,Texas,75234,-96.88322,32.925975,Dallas-Ft. Worth,TX,9051933.0,481130139022009,0.19,71022.0,0.1361,0.2426,0.4527,0.1479,0.0473,0.6746,0.2354
14829,Dallas,Texas,75235,-96.84612,32.828128,Dallas-Ft. Worth,TX,1026339.0,481130004065034,0.19,39423.0,0.3534,0.5983,0.2234,0.0172,0.0,0.3842,0.1404
14830,Dallas,Texas,75236,-96.91746,32.685533,Dallas-Ft. Worth,TX,1026339.0,481130165202011,0.19,41243.0,0.3489,0.3552,0.2896,0.0921,0.0101,0.6834,0.199
14831,Dallas,Texas,75237,-96.87633,32.666984,Dallas-Ft. Worth,TX,1026339.0,481130109042009,0.19,30723.0,0.3753,0.5432,0.1663,0.0,0.0,0.8667,0.183
14832,Dallas,Texas,75238,-96.70922,32.873926,Dallas-Ft. Worth,TX,1026339.0,481130130041010,0.19,107393.0,0.047,0.1365,0.3154,0.3758,0.1499,0.9707,0.6352
14833,Dallas,Texas,75240,-96.78543,32.938774,Dallas-Ft. Worth,TX,1026339.0,481130136102003,0.19,140686.0,0.0,0.1746,0.1786,0.246,0.4008,1.0,0.7549
14834,Dallas,Texas,75241,-96.77439,32.669383,Dallas-Ft. Worth,TX,1026339.0,481130114012039,0.19,20256.0,0.5624,0.2981,0.1839,0.0,0.0,0.5944,0.1348
14835,Dallas,Texas,75243,-96.73688,32.912225,Dallas-Ft. Worth,TX,1026339.0,481130078101004,0.19,49753.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
14836,Farmers Branch,Texas,75244,-96.83616,32.922624,Dallas-Ft. Worth,TX,9051933.0,481130096032023,0.19,77548.0,0.1295,0.1897,0.2522,0.2377,0.1908,0.9168,0.4597
14837,Dallas,Texas,75246,-96.77365,32.791878,Dallas-Ft. Worth,TX,1026339.0,481130015022020,0.19,30016.0,0.4208,0.306,0.3169,0.0164,0.0,0.3677,0.0619
14838,Dallas,Texas,75247,-96.87928,32.817978,Dallas-Ft. Worth,TX,1026339.0,481130100002198,0.19,27487.0,0.4591,0.5898,0.0765,0.0,0.0,0.6435,0.3294
14839,Dallas,Texas,75248,-96.78863,32.968123,Dallas-Ft. Worth,TX,1026339.0,481130136191010,0.19,73391.0,0.0959,0.1231,0.4197,0.3653,0.0246,0.9366,0.6537
14840,Dallas,Texas,75249,-96.95317,32.639661,Dallas-Ft. Worth,TX,1026339.0,481130165103043,0.19,57620.0,0.1548,0.2348,0.4787,0.1123,0.0594,1.0,0.3204
14841,Dallas,Texas,75251,-96.77497,32.919104,Dallas-Ft. Worth,TX,1026339.0,481130132002018,0.19,51637.0,0.1788,0.3371,0.3069,0.1754,0.0199,0.9775,0.791
14842,Dallas,Texas,75252,-96.79088,32.998132,Dallas-Ft. Worth,TX,1026339.0,480850317093021,0.077,117596.0,0.0448,0.1487,0.2473,0.4176,0.1685,0.9892,0.7266
14843,Dallas,Texas,75253,-96.60367,32.679924,Dallas-Ft. Worth,TX,1026339.0,481130171012048,0.19,25566.0,0.487,0.4425,0.1553,0.0453,0.026,0.598,0.1599
14844,Dallas,Texas,75270,-96.80198,32.78133,Dallas-Ft. Worth,TX,1026339.0,481130031012001,0.19,81397.0,0.0719,0.1685,0.4393,0.2787,0.0562,0.8168,0.4313
14845,Dallas,Texas,75287,-96.84436,32.998786,Dallas-Ft. Worth,TX,1026339.0,481210216351000,0.081,70875.0,0.0962,0.199,0.5171,0.1697,0.062,0.9473,0.2898
14846,Greenville,Texas,75401,-96.11289,33.15023,Dallas-Ft. Worth,TX,1026442.0,482319608001012,0.2,22263.0,0.5671,0.4732,0.0302,0.0302,0.0,0.6789,0.2454
14847,Greenville,Texas,75402,-96.08977,33.082411,Dallas-Ft. Worth,TX,1026442.0,482319611003003,0.2,81378.0,0.0751,0.0605,0.5351,0.2942,0.0351,0.9174,0.4451
14848,Princeton,Texas,75407,-96.49664,33.14572,Dallas-Ft. Worth,TX,1026714.0,480850310011001,0.077,66905.0,0.0802,0.2257,0.6063,0.1194,0.0,0.767,0.1108
