name,city,state,state_url,school_name,player_url
"Darius Songaila","New Hampton","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","New Hampton School","http://www.basketball-reference.com/players/s/songada01.html"
"T.J. Warren","Wolfeboro","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Brewster Academy","http://www.basketball-reference.com/players/w/warretj01.html"
"Brandon Williams","Exeter","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Phillips-Exeter Academy","http://www.basketball-reference.com/players/w/willibr01.html"
"Alaa Abdelnaby","Bloomfield","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","Bloomfield","http://www.basketball-reference.com/players/a/abdelal01.html"
"Rafael Addison","Jersey City","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","Snyder","http://www.basketball-reference.com/players/a/addisra01.html"
"Malik Allen","Medford","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","Shawnee","http://www.basketball-reference.com/players/a/allenma01.html"
"Derrick Alston","Hoboken","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","Hoboken","http://www.basketball-reference.com/players/a/alstode01.html"
"Kyle Anderson","Jersey City","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","St. Anthony's","http://www.basketball-reference.com/players/a/anderky01.html"
"Al Attles","Newark","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","Weequahic","http://www.basketball-reference.com/players/a/attleal01.html"
"Anthony Avent","Newark","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","Malcolm X Shabazz","http://www.basketball-reference.com/players/a/aventan01.html"
"Rick Barry","Roselle Park","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","Roselle Park","http://www.basketball-reference.com/players/b/barryri01.html"
"Ed Beach","Elizabeth","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","Thomas Jefferson","http://www.basketball-reference.com/players/b/beached01.html"
"Hank Beenders","North Plainfield","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","North Plainfield","http://www.basketball-reference.com/players/b/beendha01.html"
"George Blaney","Jersey City","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","Saint Peter's Preparatory School","http://www.basketball-reference.com/players/b/blanege01.html"
"Mike Bloom","Trenton","New Jersey","http://www.basketball-reference.com/friv/high_schools.cgi?state=NJ","Trenton","http://www.basketball-reference.com/players/b/bloommi01.html"
