Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed,Birthplace,HomeTown,HighSchool,College,Past Pro,Past Pro 2,Twitter_id,Twitter_username,Twitter_followers,Twitter_friends
114,J.R. Smith,CLE,$6516000,$6399750,,,,,Early Bird Rights,$6516000,,,,,,,,,,
155,Jabari Parker,MIL,$4930560,$5152440,$5374320,$6782392,,,1st Round Pick,$10083000,,,,,,,,,,
504,Jack Cooley,UTA,$65000,,,,,,,$65000,,,,,,,,,,
505,Jack Cooley,UTA,$65000,,,,,,,$65000,,,,,,,,,,
417,Jae Crowder,BOS,$915243,,,,,,Cap Space,$915243,,,,,,,,,,
457,JaKarr Sampson,PHI,$507336,$845059,$980431,$1051245,,,Cap Space,,,,,,,,,,,
485,Jamaal Franklin,MEM,$163296,$163296,$163296,$163296,$163296,,,$816482,,,,,,,,,,
137,Jamal Crawford,LAC,$5450000,$5675000,,,,,MLE,$3000000,,,,,,,,,,
245,Jameer Nelson,DEN,$2732000,$2854940,,,,,Room Exception,$2732000,,,,,,,,,,
462,James Ennis,MIA,$507336,$845059,$980431,,,,Cap Space,$1352395,,,,,,,,,,
28,James Harden,HOU,$14728844,$15756438,$16784031,$17811625,,,Bird Rights,$56175126,,,,,,,,,,
253,James Johnson,TOR,$2500000,$2500000,,,,,Cap Space,$5000000,,,,,,,,,,
325,James Jones,CLE,$1448490,,,,,,Minimum Salary,$1448490,,,,,,,,,,
522,James Michael McAdoo,GSW,$29843,,,,,,,$29843,,,,,,,,,,
305,James Young,BOS,$1674480,$1749840,$1825200,$2803507,,,1st Round Pick,$3424320,,,,,,,,,,
521,JaMychal Green,SAS,$29843,,,,,,,$29843,,,,,,,,,,
326,Jannero Pargo,CHO,$1448490,,,,,,Minimum Salary,$1448490,,,,,,,,,,
172,Jared Dudley,MIL,$4250000,$4250000,,,,,Bird Rights,$4250000,,,,,,,,,,
329,Jared Sullinger,BOS,$1424520,$2269260,,,,,1st Round Pick,$3693780,,,,,,,,,,
446,Jarnell Stokes,MEM,$725000,$845059,$980431,,,,,$1570059,,,,,,,,,,
118,Jarrett Jack,BRK,$6300000,$6300000,$6300000,,,,Cap Space,$13100000,,,,,,,,,,
499,Jarvis Varnado,PHI,$75000,,,,,,,$75000,,,,,,,,,,
414,Jason Maxiell,CHO,$1316809,,,,,,Minimum Salary,,,,,,,,,,,
109,Jason Richardson,PHI,$6601125,,,,,,Bird Rights,$6601125,,,,,,,,,,
211,Jason Smith,NYK,$3278000,,,,,,Mini MLE,$3278000,,,,,,,,,,
127,Jason Terry,HOU,$5850313,,,,,,MLE,$5850313,,,,,,,,,,
123,Jason Thompson,SAC,$6037500,$6431250,$6825000,,,,Bird Rights,$15118750,,,,,,,,,,
53,JaVale McGee,DEN,$11250000,$12000000,,,,,Bird Rights,$2325000,,,,,,,,,,
406,Jeff Adrien,HOU,$981084,,,,,,,$981084,,,,,,,,,,
296,Jeff Ayres,SAS,$1828750,,,,,,MLE,$1828750,,,,,,,,,,
68,Jeff Green,MEM,$9445000,$9445000,,,,,Bird Rights,$9200000,,,,,,,,,,
87,Jeff Teague,ATL,$8000000,$8000000,$8000000,,,,Bird Rights,$24000000,,,,,,,,,,
430,Jeff Withey,NOP,$816482,,,,,,Minimum Salary,$816482,,,,,,,,,,
413,Jeffery Taylor,CHO,$915243,,,,,,Minimum Salary,,,,,,,,,,,
418,Jerami Grant,PHI,$884879,$845059,$980431,$1051245,,,Draft Pick,$1729938,,,,,,,,,,
298,Jeremy Evans,UTA,$1794871,,,,,,Early Bird Rights,$1794871,,,,,,,,,,
267,Jeremy Lamb,OKC,$2202000,$3034356,,,,,1st Round Pick,$5236356,,,,,,,,,,
80,Jeremy Lin,LAL,$8374646,,,,,,Cap Space,$8374646,,,,,,,,,,
415,Jerome Jordan,BRK,$915243,,,,,,Minimum Salary,,,,,,,,,,,
520,Jerrelle Benimon,DEN,$35000,,,,,,,$35000,,,,,,,,,,
229,Jerryd Bayless,MIL,$3000000,$3000000,,,,,Cap Space,$6000000,,,,,,,,,,
388,Jimmer Fredette,NOP,$948163,,,,,,Minimum Salary,$948163,,,,,,,,,,
284,Jimmy Butler,CHI,$2008748,,,,,,1st Round Pick,$2008748,,,,,,,,,,
42,Joakim Noah,CHI,$12200000,$13400000,,,,,Bird Rights,$25600000,,,,,,,,,,
124,Jodie Meeks,DET,$6000000,$6270000,$6540000,,,,Cap Space,$18800000,,,,,,,,,,
420,Joe Harris,CLE,$884879,$845059,$980439,,,,,$1729938,,,,,,,,,,
455,Joe Ingles,UTA,$507336,,,,,,Minimum Salary,,,,,,,,,,,
3,Joe Johnson,BRK,$23180790,$24894863,,,,,Bird Rights,$48075653,,,,,,,,,,
189,Joel Anthony,DET,$3800000,,,,,,Bird Rights,$3800000,,,,,,,,,,
169,Joel Embiid,PHI,$4427640,$4626960,$4826160,$6100266,,,1st Round Pick,$9054600,,,,,,,,,,
226,Joel Freeland,POR,$3013512,,,,,,Cap Space,$2567512,,,,,,,,,,
391,Joey Dorsey,HOU,$948163,$1015421,,,,,Minimum Salary,$1963584,,,,,,,,,,
289,John Henson,MIL,$1987320,$2943221,,,,,1st Round Pick,$4930541,,,,,,,,,,
338,John Jenkins,ATL,$1312920,$2228025,,,,,1st Round Pick,$1312920,,,,,,,,,,
286,John Salmons,NOP,$2000000,,,,,,Room Exception,$2000000,,,,,,,,,,
376,John Salmons,ATL,$1000000,,,,,,,$1000000,,,,,,,,,,
26,John Wall,WAS,$14746000,$15851950,$16957900,$18063850,$19169800,,1st Round Pick,$78782188,,,,,,,,,,
454,Johnny O'Bryant,MIL,$600000,$845059,$980431,,,,Cap Space,$1445059,,,,,,,,,,
386,Jon Leuer,MEM,$967500,$1035000,,,,,Early Bird Rights,$967500,,,,,,,,,,
166,Jonas Jerebko,DET,$4500000,,,,,,Early Bird Rights,$4500000,,,,,,,,,,
192,Jonas Valanciunas,TOR,$3678360,$4660482,,,,,1st Round Pick,$8338842,,,,,,,,,,
334,Jordan Adams,MEM,$1344120,$1404600,$1465080,$2410057,,,1st Round Pick,$2748720,,,,,,,,,,
465,Jordan Clarkson,LAL,$507336,$845059,,,,,Minimum Salary,$507336,,,,,,,,,,
278,Jordan Farmar,LAC,$2077000,,,,,,,$2077000,,,,,,,,,,
525,Jordan Hamilton,UTA,$25000,,,,,,,$25000,,,,,,,,,,
72,Jordan Hill,LAL,$9000000,$9000000,,,,,Cap Space,$9000000,,,,,,,,,,
524,Jordan Vandenberg,NYK,$27000,,,,,,,$27000,,,,,,,,,,
515,Jorge Gutierrez,MIL,$48028,,,,,,Minimum Salary,$48028,,,,,,,,,,
339,Jose Barea,DAL,$1310286,,,,,,Minimum Salary,$1310286,,,,,,,,,,
100,Jose Calderon,NYK,$7097191,$7402812,$7708427,,,,Cap Space,$22208430,,,,,,,,,,
95,Josh Childress,PHO,$7317500,,,,,,,,,,,,,,,,,
528,Josh Davis,SAS,$20000,,,,,,,$20000,,,,,,,,,,
142,Josh McRoberts,MIA,$5305000,$5543725,$5782450,$6021175,,,MLE,$16631175,,,,,,,,,,
